method,scenario,variable,RMSE_orig,MAE_orig,Std_RMSE
knn,block30d,TMAX,2.9011,1.9739,0.2963
knn,block30d,RH_MEAN,10.392,8.2946,0.8039
knn,block30d,P_MEAN,10.5478,8.5996,1.0116
knn,block30d,WIND_MEAN,0.8436,0.6564,0.8979
knn,block30d,PRECIP,4.3426,2.3498,0.566
mice,block30d,TMIN,4.0533,2.4957,0.5939
mice,block30d,TMEAN,3.1593,1.9038,0.3868
mice,block30d,TMAX,4.1936,2.5824,0.4283
mice,block30d,RH_MEAN,9.832,7.8876,0.7606
mice,block30d,P_MEAN,10.2717,8.3968,0.9851
mice,block30d,WIND_MEAN,0.8175,0.6366,0.8701
mice,block30d,PRECIP,4.4471,2.6152,0.5797
SAITS_seed7,block30d,TMIN,2.2505,1.8012,0.3298
SAITS_seed7,block30d,TMEAN,1.4097,0.998,0.1726
SAITS_seed7,block30d,TMAX,2.6343,1.9964,0.269
SAITS_seed7,block30d,RH_MEAN,8.5198,6.6516,0.6591
SAITS_seed7,block30d,P_MEAN,4.2922,3.3417,0.4116
SAITS_seed7,block30d,WIND_MEAN,0.5938,0.4361,0.632
SAITS_seed7,block30d,PRECIP,3.9467,1.4995,0.5144
