method,scenario,n_seeds,n_evaluated,freq_gt_mean,freq_gt_std,freq_pred_mean,freq_pred_std,signed_frequency_bias_mean,signed_frequency_bias_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,csi_mean,csi_std,rmse_mean,rmse_std,mae_mean,mae_std,rmse_wet_mean,rmse_wet_std,mae_wet_mean,mae_wet_std,mae_p95_mean,mae_p95_std,rmse_p95_mean,rmse_p95_std
Mean,netblock30d,1,840,0.2548,,1.0,,0.7452,,0.2548,,1.0,,0.4061,,0.2548,,3.1073,,2.0722,,5.5203,,3.5136,,21.68,,22.07,
MissingnessIndicatorRF,10pct,3,416,0.3389,0.0,0.3822,0.022,0.0433,0.0221,0.7638,0.0191,0.8605,0.0286,0.8088,0.0025,0.6791,0.0036,3.3081,0.016,1.4336,0.0347,5.4113,0.0295,3.4484,0.0279,14.5233,0.0551,17.5467,0.1457
MissingnessIndicatorRF,20pct,3,833,0.3673,0.0,0.3553,0.0216,-0.012,0.0216,0.7867,0.0165,0.7603,0.0309,0.7728,0.0086,0.6298,0.0113,3.1605,0.0035,1.4477,0.0281,4.8318,0.008,3.2114,0.0293,12.5067,0.1155,14.8633,0.0681
MissingnessIndicatorRF,block30d,3,840,0.3262,0.0,0.3631,0.0156,0.0369,0.0156,0.7547,0.0198,0.8394,0.0146,0.7945,0.0047,0.6592,0.0065,3.722,0.0159,1.6256,0.0258,6.0757,0.0103,3.9368,0.0093,18.7167,0.1193,20.3767,0.0709
MissingnessIndicatorRF,block7d,3,840,0.3262,0.0,0.3313,0.0162,0.0052,0.0162,0.7848,0.0122,0.7968,0.0269,0.7904,0.0073,0.6536,0.01,2.983,0.014,1.3126,0.0281,4.895,0.0349,3.2879,0.0341,13.5267,0.2173,15.49,0.2152
MissingnessIndicatorRF,netblock30d,3,840,0.2548,0.0,0.0,0.0,-0.2548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2346,0.0,1.065,0.0,6.4085,0.0,4.1804,0.0,23.33,0.0,23.68,0.0
SAITS,10pct,3,416,0.3389,0.0,0.399,0.0563,0.0601,0.0563,0.6458,0.0344,0.7565,0.0644,0.6946,0.0085,0.5322,0.0099,4.24,0.0337,1.4892,0.0105,7.2722,0.0605,4.1624,0.0519,24.81,0.1375,25.7733,0.1193
SAITS,20pct,3,833,0.3673,0.0,0.3461,0.0475,-0.0212,0.0474,0.6991,0.0477,0.6547,0.0441,0.6741,0.0095,0.5085,0.0109,3.8748,0.0215,1.4174,0.0088,6.3861,0.0373,3.6992,0.029,22.5167,0.1305,22.8333,0.1301
SAITS,block30d,3,840,0.3262,0.0,0.2964,0.0661,-0.0298,0.0661,0.6531,0.0261,0.59,0.1056,0.6152,0.0428,0.4452,0.0455,4.7487,0.0178,1.6018,0.0054,8.3086,0.0316,4.7291,0.0324,27.69,0.0624,28.5933,0.0666
SAITS,block7d,3,840,0.3262,0.0,0.3294,0.0545,0.0032,0.0545,0.6231,0.0162,0.6289,0.1033,0.6233,0.0496,0.454,0.0534,4.1443,0.0262,1.4379,0.0025,7.2479,0.0476,4.1932,0.0534,25.8367,0.0808,26.81,0.0608
