scenario,seed,delta_f1,delta_f1_ci_low,delta_f1_ci_high,delta_f1_p,delta_rmse_wet,delta_rmse_wet_ci_low,delta_rmse_wet_ci_high,delta_rmse_wet_p
10pct,42,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
mar_meteo,42,-0.0044,-0.0141,0.0,0.735,-0.0057,-0.0212,0.0001,0.735
mnar_wet,42,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
mnar_intensity_moderate,42,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
mnar_intensity_severe,42,-0.0017,-0.0054,0.0,0.7386,0.006,0.0,0.0199,0.7386
block7d,42,-0.0108,-0.0272,0.0034,0.1708,-0.01,-0.102,0.075,0.7886
block30d,42,-0.0144,-0.0296,-0.0034,0.0078,0.0775,-0.0367,0.2323,0.2294
netblock30d,42,0.5202,0.3702,0.611,0.0,-0.8131,-1.1345,-0.4217,0.0
