scenario,realization,mask_seed,method,seed,n_masked,n_extreme,f1,rmse_p95,mae_p95
20pct,1,9001,Linear,deterministic,833,11,0.6716,22.27,21.27
20pct,1,9001,AmountRF_DLPIF,42,833,11,0.7829,14.8,13.2
20pct,1,9001,SAITS,42,833,11,0.6038,24.61,23.73
20pct,1,9001,AmountRF_DLPIF,123,833,11,0.7756,14.86,13.44
20pct,1,9001,SAITS,123,833,11,0.6633,24.51,23.62
20pct,1,9001,AmountRF_DLPIF,456,833,11,0.7763,14.92,13.34
20pct,1,9001,SAITS,456,833,11,0.6248,24.54,23.7
20pct,2,9002,Linear,deterministic,833,10,0.6757,21.08,20.87
20pct,2,9002,AmountRF_DLPIF,42,833,10,0.7818,12.85,11.74
20pct,2,9002,SAITS,42,833,10,0.6152,23.13,22.95
20pct,2,9002,AmountRF_DLPIF,123,833,10,0.7815,13.02,12.02
20pct,2,9002,SAITS,123,833,10,0.6343,23.0,22.82
20pct,2,9002,AmountRF_DLPIF,456,833,10,0.7847,13.02,12.02
20pct,2,9002,SAITS,456,833,10,0.6019,23.13,22.96
20pct,3,9003,Linear,deterministic,833,5,0.6598,26.29,25.1
20pct,3,9003,AmountRF_DLPIF,42,833,5,0.7747,17.29,14.44
20pct,3,9003,SAITS,42,833,5,0.5964,29.45,28.3
20pct,3,9003,AmountRF_DLPIF,123,833,5,0.759,17.51,14.7
20pct,3,9003,SAITS,123,833,5,0.6355,29.17,28.05
20pct,3,9003,AmountRF_DLPIF,456,833,5,0.7621,17.76,15.06
20pct,3,9003,SAITS,456,833,5,0.6077,29.16,28.03
20pct,4,9004,Linear,deterministic,833,6,0.6792,21.56,20.48
20pct,4,9004,AmountRF_DLPIF,42,833,6,0.7751,19.07,17.48
20pct,4,9004,SAITS,42,833,6,0.6211,24.02,23.69
20pct,4,9004,AmountRF_DLPIF,123,833,6,0.7821,17.23,15.98
20pct,4,9004,SAITS,123,833,6,0.6417,23.89,23.53
20pct,4,9004,AmountRF_DLPIF,456,833,6,0.7855,17.62,16.28
20pct,4,9004,SAITS,456,833,6,0.6341,24.02,23.67
20pct,5,9005,Linear,deterministic,833,9,0.682,23.9,21.4
20pct,5,9005,AmountRF_DLPIF,42,833,9,0.7909,16.03,14.47
20pct,5,9005,SAITS,42,833,9,0.6132,27.11,25.55
20pct,5,9005,AmountRF_DLPIF,123,833,9,0.7955,16.1,14.61
20pct,5,9005,SAITS,123,833,9,0.677,27.08,25.52
20pct,5,9005,AmountRF_DLPIF,456,833,9,0.7962,15.94,14.49
20pct,5,9005,SAITS,456,833,9,0.664,27.1,25.6
20pct,6,9006,Linear,deterministic,833,10,0.6878,27.34,23.45
20pct,6,9006,AmountRF_DLPIF,42,833,10,0.8036,18.48,16.08
20pct,6,9006,SAITS,42,833,10,0.6508,31.04,28.34
20pct,6,9006,AmountRF_DLPIF,123,833,10,0.807,19.0,16.41
20pct,6,9006,SAITS,123,833,10,0.7029,30.75,28.0
20pct,6,9006,AmountRF_DLPIF,456,833,10,0.8043,18.77,16.25
20pct,6,9006,SAITS,456,833,10,0.6882,30.79,28.19
20pct,7,9007,Linear,deterministic,833,7,0.7038,23.49,21.39
20pct,7,9007,AmountRF_DLPIF,42,833,7,0.7993,11.6,10.13
20pct,7,9007,SAITS,42,833,7,0.6419,25.7,24.19
20pct,7,9007,AmountRF_DLPIF,123,833,7,0.7917,12.01,10.62
20pct,7,9007,SAITS,123,833,7,0.7197,25.52,24.01
20pct,7,9007,AmountRF_DLPIF,456,833,7,0.792,11.91,10.72
20pct,7,9007,SAITS,456,833,7,0.6788,25.56,24.1
20pct,8,9008,Linear,deterministic,833,10,0.6825,24.59,23.63
20pct,8,9008,AmountRF_DLPIF,42,833,10,0.8008,18.65,16.39
20pct,8,9008,SAITS,42,833,10,0.6158,26.14,25.53
20pct,8,9008,AmountRF_DLPIF,123,833,10,0.7977,18.57,16.29
20pct,8,9008,SAITS,123,833,10,0.6712,26.07,25.48
20pct,8,9008,AmountRF_DLPIF,456,833,10,0.8031,18.61,16.43
20pct,8,9008,SAITS,456,833,10,0.6394,26.13,25.53
20pct,9,9009,Linear,deterministic,833,9,0.6538,23.41,22.28
20pct,9,9009,AmountRF_DLPIF,42,833,9,0.7985,17.55,15.22
20pct,9,9009,SAITS,42,833,9,0.6015,25.94,25.29
20pct,9,9009,AmountRF_DLPIF,123,833,9,0.7926,17.49,15.29
20pct,9,9009,SAITS,123,833,9,0.6328,25.79,25.14
20pct,9,9009,AmountRF_DLPIF,456,833,9,0.7977,17.56,15.46
20pct,9,9009,SAITS,456,833,9,0.6166,25.95,25.31
