seed,scenario,a_local,a_neighbor,a_total,y_true,p_calibrated,wet_pred,y_hat_amount,is_wet_true
42,10pct,0.8333333333333334,1.0,0.9166666666666667,0.0,0.05765311856256481,False,0.0,False
42,10pct,1.0,1.0,1.0,0.0,0.08335621218875776,False,0.0,False
42,10pct,1.0,1.0,1.0,0.20000000470317902,0.21665732858426404,False,0.0,True
42,10pct,0.8333333333333334,1.0,0.9166666666666667,0.0,0.19634111443108002,False,0.0,False
42,10pct,1.0,1.0,1.0,0.0,0.04681372671527005,False,0.0,False
42,10pct,1.0,1.0,1.0,0.0,0.10722852218529824,False,0.0,False
42,10pct,0.8333333333333334,1.0,0.9166666666666667,0.0,0.12250015530057037,False,0.0,False
42,10pct,1.0,1.0,1.0,3.4000000633299354,0.8561118298798118,True,3.2201631633104824,True
42,10pct,1.0,1.0,1.0,1.8000000257045032,0.8818687184184074,True,3.337388959144612,True
42,10pct,1.0,1.0,1.0,14.000000229477884,0.9007979373959598,True,2.1038718812371315,True
42,10pct,0.8333333333333334,1.0,0.9166666666666667,1.0000000068917871,0.9221433504864389,True,11.526856826445947,True
42,10pct,0.8333333333333334,0.85714287,0.8452380994955699,7.000000114738942,0.49087265403544655,True,5.719812018707164,True
42,10pct,1.0,0.85714287,0.9285714328289032,8.800000007450581,0.557655852816213,True,5.127297722330061,True
42,10pct,0.6666666666666666,1.0,0.8333333333333333,1.0000000068917871,0.7121365967710775,True,1.6534746442553,True
42,10pct,1.0,1.0,1.0,4.000000027567149,0.7207048655385687,True,2.158509576844132,True
42,10pct,1.0,1.0,1.0,0.0,0.7918536484632785,True,2.695602251932677,False
42,10pct,0.6666666666666666,0.85714287,0.7619047661622365,1.20000006146729,0.8841040157298341,True,3.7297518775200382,True
42,10pct,1.0,1.0,1.0,0.0,0.8682750156093342,True,1.854677424829402,False
42,10pct,0.6666666666666666,1.0,0.8333333333333333,19.800000947713855,0.796049235626337,True,10.521050255605513,True
42,10pct,1.0,1.0,1.0,0.0,0.0948040326069778,False,0.0,False
42,10pct,0.8333333333333334,1.0,0.9166666666666667,0.0,0.09953765573784125,False,0.0,False
42,10pct,0.6666666666666666,1.0,0.8333333333333333,0.0,0.16344734814291764,False,0.0,False
42,10pct,1.0,1.0,1.0,0.40000000940635805,0.61234316081711,True,4.796451123485576,True
42,10pct,1.0,1.0,1.0,10.800000420212747,0.3743738402688544,True,0.784113711496317,True
42,10pct,1.0,1.0,1.0,0.0,0.3116430376060499,False,0.0,False
42,10pct,0.5,1.0,0.75,0.0,0.2041290434245989,False,0.0,False
42,10pct,1.0,1.0,1.0,0.40000000940635805,0.9205394523522763,True,5.469438439065075,True
42,10pct,1.0,1.0,1.0,0.0,0.06672665633879094,False,0.0,False
