method,scenario,thresh_mm,n_masked,freq_gt,freq_pred,bias,precision,recall,f1,dry_accuracy,csi,tp,fp,fn,tn
WGAN-GP_modeB_seed42+PrecipFix,20pct,0.1,2230,0.3453,0.3206,-0.0247,0.4322,0.4013,0.4162,0.7219,0.2628,309,406,461,1054
WGAN-GP_modeB_seed456,20pct,0.1,2230,0.3453,1.0,0.6547,0.3453,1.0,0.5133,0.0,0.3453,770,1460,0,0
WGAN-GP_modeB_seed456+Precip2Stage,20pct,0.1,2230,0.3453,0.3435,-0.0018,0.9569,0.9519,0.9544,0.9774,0.9128,733,33,37,1427
WGAN-GP_modeB_seed456+PrecipFix,20pct,0.1,2230,0.3453,0.2982,-0.0471,0.3985,0.3442,0.3693,0.726,0.2265,265,400,505,1060
WGAN-GP_seed123,20pct,0.1,2230,0.3453,1.0,0.6547,0.3453,1.0,0.5133,0.0,0.3453,770,1460,0,0
WGAN-GP_seed123+Precip2Stage,20pct,0.1,2230,0.3453,0.3462,0.0009,0.9521,0.9545,0.9533,0.9747,0.9108,735,37,35,1423
WGAN-GP_seed123+PrecipFix,20pct,0.1,2230,0.3453,0.3009,-0.0444,0.4083,0.3558,0.3803,0.7281,0.2348,274,397,496,1063
WGAN-GP_seed42,20pct,0.1,2230,0.3453,1.0,0.6547,0.3453,1.0,0.5133,0.0,0.3453,770,1460,0,0
WGAN-GP_seed42+Precip2Stage,20pct,0.1,2230,0.3453,0.3444,-0.0009,0.9557,0.9532,0.9545,0.9767,0.9129,734,34,36,1426
WGAN-GP_seed42+PrecipFix,20pct,0.1,2230,0.3453,0.3157,-0.0296,0.4318,0.3948,0.4125,0.726,0.2598,304,400,466,1060
WGAN-GP_seed456,20pct,0.1,2230,0.3453,1.0,0.6547,0.3453,1.0,0.5133,0.0,0.3453,770,1460,0,0
WGAN-GP_seed456+Precip2Stage,20pct,0.1,2230,0.3453,0.3435,-0.0018,0.9569,0.9519,0.9544,0.9774,0.9128,733,33,37,1427
WGAN-GP_seed456+PrecipFix,20pct,0.1,2230,0.3453,0.3332,-0.0121,0.4361,0.4208,0.4283,0.713,0.2725,324,419,446,1041
WGAN-GP_seq30_seed42,20pct,0.1,2230,0.3453,1.0,0.6547,0.3453,1.0,0.5133,0.0,0.3453,770,1460,0,0
WGAN-GP_seq30_seed42+Precip2Stage,20pct,0.1,2230,0.3453,0.3444,-0.0009,0.9557,0.9532,0.9545,0.9767,0.9129,734,34,36,1426
WGAN-GP_seq30_seed42+PrecipFix,20pct,0.1,2230,0.3453,0.3157,-0.0296,0.4318,0.3948,0.4125,0.726,0.2598,304,400,466,1060
WGAN-GP_seq90_seed42,20pct,0.1,2230,0.3453,1.0,0.6547,0.3453,1.0,0.5133,0.0,0.3453,770,1460,0,0
WGAN-GP_seq90_seed42+Precip2Stage,20pct,0.1,2230,0.3453,0.3444,-0.0009,0.9557,0.9532,0.9545,0.9767,0.9129,734,34,36,1426
