method,scenario,seed,station_id,cdd_obs,cdd_pred,cdd_abs_error,mean_dry_obs,mean_dry_pred,mean_dry_abs_error,p95_dry_obs,p95_dry_pred,p95_dry_abs_error,n_dry_spells_obs,n_dry_spells_pred
DLPIF,10pct,42,17155,45.0,45.0,0.0,5.338888888888889,5.430594900849858,0.09170601196096939,17.0,17.0,0.0,360,353
DLPIF,10pct,42,17704,44.0,44.0,0.0,5.162983425414365,5.095628415300546,0.06735501011381828,17.0,16.75,0.25,362,366
DLPIF,10pct,42,17748,44.0,44.0,0.0,5.156424581005586,5.237960339943343,0.08153575893775677,17.149999999999977,18.0,0.8500000000000227,358,353
DLPIF,10pct,42,17750,48.0,48.0,0.0,5.701807228915663,5.659701492537313,0.04210573637834969,19.44999999999999,19.30000000000001,0.14999999999997726,332,335
DLPIF,20pct,42,17155,45.0,45.0,0.0,5.338888888888889,5.23013698630137,0.10875190258751832,17.0,17.0,0.0,360,365
DLPIF,20pct,42,17704,44.0,44.0,0.0,5.162983425414365,5.040431266846361,0.12255215856800383,17.0,16.5,0.5,362,371
DLPIF,20pct,42,17748,44.0,44.0,0.0,5.156424581005586,5.296296296296297,0.13987171529071052,17.149999999999977,19.0,1.8500000000000227,358,351
DLPIF,20pct,42,17750,48.0,45.0,3.0,5.701807228915663,5.746223564954683,0.04441633603901973,19.44999999999999,18.0,1.4499999999999886,332,331
DLPIF,block30d,42,17155,45.0,45.0,0.0,5.338888888888889,5.408571428571428,0.06968253968253979,17.0,17.55000000000001,0.5500000000000114,360,350
DLPIF,block30d,42,17704,44.0,44.0,0.0,5.162983425414365,5.235294117647059,0.07231069223269415,17.0,17.0,0.0,362,357
DLPIF,block30d,42,17748,44.0,44.0,0.0,5.156424581005586,5.244318181818182,0.08789360081259545,17.149999999999977,18.899999999999977,1.75,358,352
DLPIF,block30d,42,17750,48.0,48.0,0.0,5.701807228915663,5.801223241590214,0.09941601267455091,19.44999999999999,18.69999999999999,0.75,332,327
DLPIF,block7d,42,17155,45.0,45.0,0.0,5.338888888888889,5.512893982808023,0.174005093919134,17.0,17.0,0.0,360,349
DLPIF,block7d,42,17704,44.0,45.0,1.0,5.162983425414365,5.148760330578512,0.014223094835852379,17.0,17.899999999999977,0.8999999999999773,362,363
DLPIF,block7d,42,17748,44.0,45.0,1.0,5.156424581005586,5.2747875354107645,0.1183629544051783,17.149999999999977,17.0,0.14999999999997726,358,353
DLPIF,block7d,42,17750,48.0,48.0,0.0,5.701807228915663,5.6716417910447765,0.030165437870886436,19.44999999999999,18.0,1.4499999999999886,332,335
DLPIF,10pct,42,17155,45.0,45.0,0.0,5.338888888888889,5.4460227272727275,0.10713383838383894,17.0,17.0,0.0,360,352
DLPIF,10pct,42,17704,44.0,44.0,0.0,5.162983425414365,5.084468664850136,0.07851476056422868,17.0,16.0,1.0,362,367
