cutoff,val_f1,val_prec,val_rec,val_bias,wet_frac_gt,seed
0.6,0.7861,0.7837,0.7885,0.002,0.323,42
0.62,0.7852,0.7894,0.781,-0.0034,0.323,123
0.58,0.7846,0.7772,0.7921,0.0062,0.323,456
