bin_lo,bin_hi,count,mean_pred,obs_freq,seed,variant,split
0.0,0.1,614,0.05726988502032421,0.026058631921824105,42,raw,VAL-SELECT
0.1,0.2,426,0.1414172661724725,0.08215962441314555,42,raw,VAL-SELECT
0.2,0.30000000000000004,188,0.2510991002175394,0.2127659574468085,42,raw,VAL-SELECT
0.30000000000000004,0.4,145,0.3460646932559661,0.2482758620689655,42,raw,VAL-SELECT
0.4,0.5,76,0.44421069299943927,0.35526315789473684,42,raw,VAL-SELECT
0.5,0.6000000000000001,78,0.5522308399472305,0.48717948717948717,42,raw,VAL-SELECT
0.6000000000000001,0.7000000000000001,88,0.6512341102477905,0.6818181818181818,42,raw,VAL-SELECT
0.7000000000000001,0.8,107,0.748415870260565,0.7570093457943925,42,raw,VAL-SELECT
0.8,0.9,162,0.8545792552751517,0.8641975308641975,42,raw,VAL-SELECT
0.9,1.0,195,0.9456595104012718,0.9282051282051282,42,raw,VAL-SELECT
0.0,0.1,965,0.06398943695319816,0.04559585492227979,42,platt,VAL-SELECT
0.1,0.2,282,0.1426731290528502,0.1950354609929078,42,platt,VAL-SELECT
0.2,0.30000000000000004,127,0.24345667984227243,0.2204724409448819,42,platt,VAL-SELECT
0.30000000000000004,0.4,67,0.34762852338435984,0.373134328358209,42,platt,VAL-SELECT
0.4,0.5,45,0.46205473968490274,0.4888888888888889,42,platt,VAL-SELECT
0.5,0.6000000000000001,52,0.5513867426972449,0.5192307692307693,42,platt,VAL-SELECT
0.6000000000000001,0.7000000000000001,70,0.6507539852858352,0.6714285714285714,42,platt,VAL-SELECT
0.7000000000000001,0.8,95,0.7512554668155426,0.7157894736842105,42,platt,VAL-SELECT
0.8,0.9,231,0.8611216344844637,0.8787878787878788,42,platt,VAL-SELECT
0.9,1.0,145,0.9169431987302212,0.9310344827586207,42,platt,VAL-SELECT
0.0,0.1,771,0.03936068798708982,0.028534370946822308,42,isotonic,VAL-SELECT
0.1,0.2,473,0.12832149879537602,0.15856236786469344,42,isotonic,VAL-SELECT
0.2,0.30000000000000004,81,0.2933853516145226,0.20987654320987653,42,isotonic,VAL-SELECT
0.30000000000000004,0.4,99,0.3464431767063347,0.31313131313131315,42,isotonic,VAL-SELECT
0.4,0.5,88,0.46741504340672113,0.45454545454545453,42,isotonic,VAL-SELECT
0.5,0.6000000000000001,0,,,42,isotonic,VAL-SELECT
0.6000000000000001,0.7000000000000001,153,0.66359966153652,0.6666666666666666,42,isotonic,VAL-SELECT
0.7000000000000001,0.8,144,0.7437730045374329,0.8333333333333334,42,isotonic,VAL-SELECT
0.8,0.9,82,0.8647644514764653,0.8780487804878049,42,isotonic,VAL-SELECT
0.9,1.0,188,0.9627324736402413,0.9308510638297872,42,isotonic,VAL-SELECT
0.0,0.1,111,0.05088524314880283,0.0,42,raw,TEST:10pct
0.1,0.2,63,0.15123468092883235,0.047619047619047616,42,raw,TEST:10pct
0.2,0.30000000000000004,37,0.24773933171478152,0.08108108108108109,42,raw,TEST:10pct
0.30000000000000004,0.4,40,0.3480782684243155,0.3,42,raw,TEST:10pct
0.4,0.5,19,0.4420413853080309,0.2631578947368421,42,raw,TEST:10pct
0.5,0.6000000000000001,15,0.5573964618254708,0.6,42,raw,TEST:10pct
0.6000000000000001,0.7000000000000001,14,0.6592497991472668,0.5714285714285714,42,raw,TEST:10pct
0.7000000000000001,0.8,29,0.7468010698319345,0.6896551724137931,42,raw,TEST:10pct
0.8,0.9,37,0.8545451757298452,0.918918918918919,42,raw,TEST:10pct
0.9,1.0,51,0.9445791346661013,0.9215686274509803,42,raw,TEST:10pct
0.0,0.1,159,0.062382208737083764,0.012578616352201259,42,platt,TEST:10pct
0.1,0.2,58,0.1423771934863536,0.08620689655172414,42,platt,TEST:10pct
0.2,0.30000000000000004,34,0.2467672627371531,0.3235294117647059,42,platt,TEST:10pct
0.30000000000000004,0.4,16,0.33983463993586477,0.3125,42,platt,TEST:10pct
0.4,0.5,9,0.44840412020892806,0.4444444444444444,42,platt,TEST:10pct
0.5,0.6000000000000001,10,0.5541809189969721,0.5,42,platt,TEST:10pct
0.6000000000000001,0.7000000000000001,12,0.6588424148697302,0.5833333333333334,42,platt,TEST:10pct
0.7000000000000001,0.8,26,0.7527094570939974,0.7307692307692307,42,platt,TEST:10pct
0.8,0.9,52,0.8614001491941425,0.8653846153846154,42,platt,TEST:10pct
0.9,1.0,40,0.915478528488318,0.95,42,platt,TEST:10pct
0.0,0.1,125,0.03381813849088982,0.0,42,isotonic,TEST:10pct
0.1,0.2,90,0.12843967140279014,0.06666666666666667,42,isotonic,TEST:10pct
0.2,0.30000000000000004,22,0.2920434979561646,0.3181818181818182,42,isotonic,TEST:10pct
0.30000000000000004,0.4,27,0.3449092817513871,0.3333333333333333,42,isotonic,TEST:10pct
0.4,0.5,19,0.46190392038042233,0.5263157894736842,42,isotonic,TEST:10pct
0.5,0.6000000000000001,0,,,42,isotonic,TEST:10pct
0.6000000000000001,0.7000000000000001,30,0.6669528455284554,0.7,42,isotonic,TEST:10pct
0.7000000000000001,0.8,35,0.7454145199063232,0.7428571428571429,42,isotonic,TEST:10pct
0.8,0.9,18,0.8651629833035615,0.8888888888888888,42,isotonic,TEST:10pct
0.9,1.0,50,0.9613877199669999,0.92,42,isotonic,TEST:10pct
0.0,0.1,216,0.05305858511870437,0.009259259259259259,42,raw,TEST:block7d
0.1,0.2,170,0.14943679390048856,0.08823529411764706,42,raw,TEST:block7d
0.2,0.30000000000000004,110,0.24568579633251786,0.15454545454545454,42,raw,TEST:block7d
0.30000000000000004,0.4,48,0.34176351493932094,0.3125,42,raw,TEST:block7d
0.4,0.5,47,0.45089927127674956,0.46808510638297873,42,raw,TEST:block7d
0.5,0.6000000000000001,35,0.5514812277557267,0.6,42,raw,TEST:block7d
0.6000000000000001,0.7000000000000001,31,0.6566955973950526,0.6774193548387096,42,raw,TEST:block7d
0.7000000000000001,0.8,43,0.7612653267890095,0.7674418604651163,42,raw,TEST:block7d
0.8,0.9,75,0.8477605678528009,0.9066666666666666,42,raw,TEST:block7d
0.9,1.0,65,0.9427453855128282,0.9230769230769231,42,raw,TEST:block7d
0.0,0.1,341,0.06395135729502993,0.03812316715542522,42,platt,TEST:block7d
0.1,0.2,166,0.13998253983169925,0.13855421686746988,42,platt,TEST:block7d
0.2,0.30000000000000004,38,0.24480528677016253,0.34210526315789475,42,platt,TEST:block7d
0.30000000000000004,0.4,33,0.3467865693935693,0.48484848484848486,42,platt,TEST:block7d
0.4,0.5,29,0.44393516287479284,0.4827586206896552,42,platt,TEST:block7d
0.5,0.6000000000000001,21,0.5424564314372323,0.7142857142857143,42,platt,TEST:block7d
0.6000000000000001,0.7000000000000001,26,0.6541812478682343,0.6538461538461539,42,platt,TEST:block7d
0.7000000000000001,0.8,34,0.760442663212876,0.7058823529411765,42,platt,TEST:block7d
0.8,0.9,103,0.8538275120500974,0.9223300970873787,42,platt,TEST:block7d
0.9,1.0,49,0.9148500761050675,0.8979591836734694,42,platt,TEST:block7d
0.0,0.1,262,0.03757367284286275,0.022900763358778626,42,isotonic,TEST:block7d
0.1,0.2,242,0.12774658129877084,0.12396694214876033,42,isotonic,TEST:block7d
0.2,0.30000000000000004,27,0.29316088575347826,0.3333333333333333,42,isotonic,TEST:block7d
0.30000000000000004,0.4,37,0.35144162381004485,0.3783783783783784,42,isotonic,TEST:block7d
0.4,0.5,53,0.4647997781126533,0.5660377358490566,42,isotonic,TEST:block7d
0.5,0.6000000000000001,0,,,42,isotonic,TEST:block7d
0.6000000000000001,0.7000000000000001,44,0.6642572062084258,0.6590909090909091,42,isotonic,TEST:block7d
0.7000000000000001,0.8,84,0.7443254352489443,0.8333333333333334,42,isotonic,TEST:block7d
0.8,0.9,29,0.8656725085242039,1.0,42,isotonic,TEST:block7d
0.9,1.0,62,0.9586313492759413,0.9193548387096774,42,isotonic,TEST:block7d
0.0,0.1,175,0.05927854319697027,0.022857142857142857,42,raw,TEST:block30d
0.1,0.2,173,0.14553154874991187,0.08092485549132948,42,raw,TEST:block30d
0.2,0.30000000000000004,99,0.24589456696761403,0.08080808080808081,42,raw,TEST:block30d
0.30000000000000004,0.4,73,0.34536628569419986,0.1506849315068493,42,raw,TEST:block30d
0.4,0.5,40,0.44658842936586546,0.3,42,raw,TEST:block30d
0.5,0.6000000000000001,29,0.5530931624808899,0.4827586206896552,42,raw,TEST:block30d
0.6000000000000001,0.7000000000000001,55,0.6547821413814174,0.7090909090909091,42,raw,TEST:block30d
0.7000000000000001,0.8,49,0.7595989657243815,0.7346938775510204,42,raw,TEST:block30d
0.8,0.9,62,0.8544577592511204,0.8870967741935484,42,raw,TEST:block30d
0.9,1.0,85,0.9460031748530439,0.9529411764705882,42,raw,TEST:block30d
0.0,0.1,307,0.0662951290516472,0.03908794788273615,42,platt,TEST:block30d
0.1,0.2,150,0.13957149298599808,0.09333333333333334,42,platt,TEST:block30d
0.2,0.30000000000000004,64,0.24373944509926462,0.171875,42,platt,TEST:block30d
0.30000000000000004,0.4,29,0.3413277159026031,0.3793103448275862,42,platt,TEST:block30d
0.4,0.5,23,0.44420765490928205,0.2608695652173913,42,platt,TEST:block30d
0.5,0.6000000000000001,23,0.5559958073949487,0.6521739130434783,42,platt,TEST:block30d
0.6000000000000001,0.7000000000000001,41,0.6540151385422361,0.6829268292682927,42,platt,TEST:block30d
0.7000000000000001,0.8,44,0.7556234367721928,0.7727272727272727,42,platt,TEST:block30d
0.8,0.9,91,0.8576786305425318,0.8571428571428571,42,platt,TEST:block30d
0.9,1.0,68,0.9157799862050708,0.9558823529411765,42,platt,TEST:block30d
0.0,0.1,231,0.04147567436288321,0.021645021645021644,42,isotonic,TEST:block30d
0.1,0.2,225,0.12811785042356583,0.09333333333333334,42,isotonic,TEST:block30d
0.2,0.30000000000000004,40,0.29338624338624336,0.1,42,isotonic,TEST:block30d
0.30000000000000004,0.4,49,0.34555482111873087,0.32653061224489793,42,isotonic,TEST:block30d
0.4,0.5,39,0.46632478632478636,0.38461538461538464,42,isotonic,TEST:block30d
0.5,0.6000000000000001,0,,,42,isotonic,TEST:block30d
0.6000000000000001,0.7000000000000001,73,0.6647403942532575,0.7123287671232876,42,isotonic,TEST:block30d
0.7000000000000001,0.8,70,0.7425480093676816,0.7428571428571429,42,isotonic,TEST:block30d
0.8,0.9,31,0.8647081654041558,0.967741935483871,42,isotonic,TEST:block30d
0.9,1.0,82,0.9648682344778516,0.9634146341463414,42,isotonic,TEST:block30d
0.0,0.1,0,,,42,raw,TEST:netblock30d
0.1,0.2,592,0.17902008125810512,0.19594594594594594,42,raw,TEST:netblock30d
0.2,0.30000000000000004,248,0.23198920412606866,0.3951612903225806,42,raw,TEST:netblock30d
0.30000000000000004,0.4,0,,,42,raw,TEST:netblock30d
0.4,0.5,0,,,42,raw,TEST:netblock30d
0.5,0.6000000000000001,0,,,42,raw,TEST:netblock30d
0.6000000000000001,0.7000000000000001,0,,,42,raw,TEST:netblock30d
0.7000000000000001,0.8,0,,,42,raw,TEST:netblock30d
0.8,0.9,0,,,42,raw,TEST:netblock30d
0.9,1.0,0,,,42,raw,TEST:netblock30d
0.0,0.1,92,0.09096246014485229,0.14130434782608695,42,platt,TEST:netblock30d
0.1,0.2,748,0.11638178085783644,0.26871657754010697,42,platt,TEST:netblock30d
0.2,0.30000000000000004,0,,,42,platt,TEST:netblock30d
0.30000000000000004,0.4,0,,,42,platt,TEST:netblock30d
0.4,0.5,0,,,42,platt,TEST:netblock30d
0.5,0.6000000000000001,0,,,42,platt,TEST:netblock30d
0.6000000000000001,0.7000000000000001,0,,,42,platt,TEST:netblock30d
0.7000000000000001,0.8,0,,,42,platt,TEST:netblock30d
0.8,0.9,0,,,42,platt,TEST:netblock30d
0.9,1.0,0,,,42,platt,TEST:netblock30d
0.0,0.1,0,,,42,isotonic,TEST:netblock30d
0.1,0.2,840,0.11375585855653052,0.25476190476190474,42,isotonic,TEST:netblock30d
0.2,0.30000000000000004,0,,,42,isotonic,TEST:netblock30d
0.30000000000000004,0.4,0,,,42,isotonic,TEST:netblock30d
0.4,0.5,0,,,42,isotonic,TEST:netblock30d
0.5,0.6000000000000001,0,,,42,isotonic,TEST:netblock30d
