freq_gt,freq_pred,bias,precision,recall,F1,CSI,RMSE_wet,frac_dry,method,scenario,epoch
0.3226,0.5121,0.1896,0.5298,0.8412,0.6502,0.4817,6.4124,0.4879,SAITS_v2_seed7,10pct,80
0.3458,0.6053,0.2595,0.4933,0.8636,0.628,0.4577,6.3524,0.3947,SAITS_v2_seed7,20pct,80
0.3169,0.5807,0.2638,0.4725,0.8659,0.6114,0.4403,6.3095,0.4193,SAITS_v2_seed7,block7d,80
0.3104,0.6733,0.3629,0.4228,0.9171,0.5788,0.4072,6.9792,0.3267,SAITS_v2_seed7,block30d,80
