freq_gt,freq_pred,bias,precision,recall,F1,CSI,RMSE_wet,frac_dry,method,scenario,epoch
0.3374,0.5739,0.2365,0.5322,0.9051,0.6703,0.5041,7.3799,0.4261,SAITS_v2_seed42,10pct,best_val
0.3649,0.6314,0.2666,0.5058,0.8754,0.6412,0.4719,6.4798,0.3686,SAITS_v2_seed42,20pct,best_val
0.3223,0.6544,0.3321,0.4438,0.9011,0.5947,0.4232,7.3007,0.3456,SAITS_v2_seed42,block7d,best_val
0.3262,0.6107,0.2845,0.4659,0.8723,0.6074,0.4361,8.3256,0.3893,SAITS_v2_seed42,block30d,best_val
0.2548,0.775,0.5202,0.255,0.7757,0.3838,0.2375,6.323,0.225,SAITS_v2_seed42,netblock30d,best_val
0.3168,0.5569,0.2401,0.5156,0.9062,0.6572,0.4895,8.1098,0.4431,SAITS_v2_seed42,mar_meteo,best_val
0.5616,0.67,0.1084,0.7537,0.8991,0.82,0.6949,7.8602,0.33,SAITS_v2_seed42,mnar_wet,best_val
0.4975,0.6213,0.1238,0.7131,0.8905,0.792,0.6557,9.6469,0.3787,SAITS_v2_seed42,mnar_intensity_moderate,best_val
0.7366,0.7976,0.061,0.8593,0.9305,0.8935,0.8075,13.0671,0.2024,SAITS_v2_seed42,mnar_intensity_severe,best_val
