family,params,mean_utility
scalar-gate,"{""w_local"": 0.2, ""w_neighbor"": 0.8, ""tau"": 0.8}",0.6427
scalar-gate,"{""w_local"": 0.2, ""w_neighbor"": 0.8, ""tau"": 0.85}",0.6427
scalar-gate,"{""w_local"": 0.3, ""w_neighbor"": 0.7, ""tau"": 0.8}",0.6311
scalar-gate,"{""w_local"": 0.4, ""w_neighbor"": 0.6, ""tau"": 0.75}",0.6311
scalar-gate,"{""w_local"": 0.4, ""w_neighbor"": 0.6, ""tau"": 0.8}",0.6186
scalar-gate,"{""w_local"": 0.3, ""w_neighbor"": 0.7, ""tau"": 0.85}",0.6186
scalar-gate,"{""w_local"": 0.4, ""w_neighbor"": 0.6, ""tau"": 0.85}",0.6186
scalar-gate,"{""w_local"": 0.2, ""w_neighbor"": 0.8, ""tau"": 0.9}",0.6115
scalar-gate,"{""w_local"": 0.4, ""w_neighbor"": 0.6, ""tau"": 0.9}",0.5997
scalar-gate,"{""w_local"": 0.3, ""w_neighbor"": 0.7, ""tau"": 0.9}",0.5997
scalar-gate,"{""w_local"": 0.2, ""w_neighbor"": 0.8, ""tau"": 0.95}",0.5997
scalar-gate,"{""w_local"": 0.3, ""w_neighbor"": 0.7, ""tau"": 0.95}",0.5997
scalar-gate,"{""w_local"": 0.4, ""w_neighbor"": 0.6, ""tau"": 0.95}",0.5997
no-gate,{},0.5898
interaction-gate,"{""tau_neighbor"": 0.25, ""tau_local"": 0.0}",0.5898
interaction-gate,"{""tau_neighbor"": 0.75, ""tau_local"": 0.0}",0.5898
